clean_address,lon,lat
"150 BREVARD RD TO I240 E AND I240 E, ASHEVILLE, NC",NA,NA
"TUNNEL RD AT I 240 EAST BOUND, ASHEVILLE, NC",NA,NA
"WASHINGTON COUNTY, ASHEVILLE, NC",-76.5950555,35.8120333
"WILSON AND VALLEY, ASHEVILLE, NC",-81.7850678,36.0969007
"NEWPORT, ASHEVILLE, NC",-76.8591057,34.7865497
"SPARTANBURG COUNTY JAIL, ASHEVILLE, NC",-81.9623107,34.972927
"NEW HANOVER COUNTY, ASHEVILLE, NC",-77.8824596,34.2154913
"NORTH HAMPTON COUNTY JAIL, ASHEVILLE, NC",-77.419661,36.3893073
"SULLIVAN COUNTY DENTION CENTER, ASHEVILLE, NC",-82.3205784,36.5366565
"MONTFORD AVE AND F&J FOOD MART, ASHEVILLE, NC",-76.5838983,39.3017842
"MARION CORRECTIONAL, ASHEVILLE, NC",-81.9469423,35.6393696
"MCDONOUGH JAIL, ASHEVILLE, NC",-84.1690181,33.4226033
"SPARTANBURG COUNTY, ASHEVILLE, NC",-81.937331,34.9558899
"LUMPKIN COUNTY GA JAIL, ASHEVILLE, NC",-83.979614,34.5357115
"MECKLENBURG COUNTY, ASHEVILLE, NC",-80.8543847,35.2632655
"S CHARLOTTE ST AND SYCAMORE ST, ASHEVILLE, NC",-80.8431267,35.2270869
"ON RAMP I40W AND HENDERSONVILLE RD, ASHEVILLE, NC",-81.1274672,35.7299007
"MICHIGAN AVE AND ALABAMA AVE, ASHEVILLE, NC",-85.6023643,44.3148443
"KNOX COUNTY, ASHEVILLE, NC",-83.917204,35.9609102
"I 40 W AND  EXIT 46, ASHEVILLE, NC",-79.0192997,35.7595731
"I 40 AND I 26, ASHEVILLE, NC",-82.4452306,36.1209556
"I 40 AND I240/EXIT 8, ASHEVILLE, NC",-97.2849867,35.401235
"KNOX COUNTY JAIL, ASHEVILLE, NC",-83.9167241,35.9604534
"I240 AND I40, ASHEVILLE, NC",-97.2849867,35.401235
"J & S CAFETERIA AIR PORT RD, ASHEVILLE, NC",-95.712891,37.09024
"LA GRANGE GEORGIA, ASHEVILLE, NC",-85.0322444,33.0362218
"I40W AND EXIT 47, ASHEVILLE, NC",-81.1274672,35.7299007
"I40W- EXIT 50 A, ASHEVILLE, NC",-81.1274672,35.7299007
"I240E AND I40W, ASHEVILLE, NC",-81.1274672,35.7299007
"I40 E AND I40 E TO SMOKEY PARK HWY, ASHEVILLE, NC",-91.5497558,34.8190054
"I40W AND 19/23, ASHEVILLE, NC",-81.1274672,35.7299007
"I40W, ASHEVILLE, NC",-81.1274672,35.7299007
"I40W AND MM 45, ASHEVILLE, NC",-81.1274672,35.7299007
"H&B GROCERY, ASHEVILLE, NC",-96.1860826,37.1265606
"GREENVILLE COUNTY DENTENTION CENTER, ASHEVILLE, NC",-82.3868928,34.8541482
"GREENVILLE DETENTION, ASHEVILLE, NC",-82.3868928,34.8541482
"CLAY COUNTY DETENTION CENTER, ASHEVILLE, NC",-83.8292438,35.0414046
"GERALDS CT, ASHEVILLE, NC",-73.087749,41.6032207
"GROVE ST & HILLIARD, ASHEVILLE, NC",-74.005309,40.732674
"CARIBOU AND I 40, ASHEVILLE, NC",-79.0339842,35.928667
"I-40  AND  HWY 25, ASHEVILLE, NC",-83.8459397,36.0117731
"HORRY COUNTY, ASHEVILLE, NC",-78.9288242,33.9196567
"HAYWOOD & N ANN, ASHEVILLE, NC",-89.247625,35.60116
"I-40 EAST AND I-26, ASHEVILLE, NC",-79.0192997,35.7595731
"550 I40 E AND I40 E TO SWEETEN CREEK RD, ASHEVILLE, NC",-91.5497558,34.8190054
"ANDERSON COUNTY DETENTION, ASHEVILLE, NC",-82.6832016,34.5336826
"BB&T TUNNEL RD, ASHEVILLE, NC",-94.5746182,38.9728011
"BEAR CREEK MARINA, ASHEVILLE, NC",-81.9623778,35.7491923
"650 CARRINGTON PL, ASHEVILLE, NC",-79.0019111,35.0794439
"550 I40 E AND I40 E TO CHARLOTTE HWY/I40 E TO CHARLOTTE HWY, ASHEVILLE, NC",-90.1986643,35.1688819
"550 PINOT DR, ASHEVILLE, NC",-81.741392,36.158648
"9 I40 E OFF RAMP, ASHEVILLE, NC",-79.0192997,35.7595731
"350 FIRST AVE AND JAIL, ASHEVILLE, NC",-73.9793814,40.7350189
"350 I26 E AND I26 E TO BREVARD RD, ASHEVILLE, NC",-81.0971876,33.9640809
"450 HAYWOOD RD AND I240 W TO HAYWOOD RD, ASHEVILLE, NC",-82.3420524,34.8425758
"3250 US 70 HWY AND OLD US 70 HWY, ASHEVILLE, NC",-79.0480767,36.0555728
"550 CARRINGTON PL, ASHEVILLE, NC",-79.0019111,35.0794439
"3250 US 70 HWY, ASHEVILLE, NC",-88.5991211,35.8141193
"2550 US 70 HWY, ASHEVILLE, NC",-87.3355979,36.0825329
"450 COX ST, ASHEVILLE, NC",-76.9665961,35.5012777
"1950 US 70 HWY AND WARREN WILSON RD, ASHEVILLE, NC",-81.643841,35.751942
"250 I26 W AND I26 W TO HILL ST, ASHEVILLE, NC",-81.0971876,33.9640809
"2350 US 70 HWY, ASHEVILLE, NC",-81.4644335,35.7234404
"250 I26 W AND I26 W TO NEW STOCK RD, ASHEVILLE, NC",-81.0971876,33.9640809
"150 S & T SPIRIT DR, ASHEVILLE, NC",-111.8859697,40.7658822
"150 S PARK CT, ASHEVILLE, NC",-73.087749,41.6032207
"150 OXFORD CT AND PINE ACRE BLVD, ASHEVILLE, NC",-73.1168393,41.4338203
"150 MYRTLE ST AND MCDOWELL ST, ASHEVILLE, NC",-73.9826629,40.6934737
